nombreEmision,Unidad,tipo_dato,dato,year,valor,Textbox5
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Turismos,2014,51.562,76.873
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Turismos,2015,52.876,79.606
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Turismos,2016,54.596,81.690
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Turismos,2017,54.909,83.043
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Turismos,2018,55.688,83.844
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Turismos,2019,56.371,84.779
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Turismos,2020,44.960,69.981
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,"Furgonetas < 3,5 t",2014,6.284,76.873
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,"Furgonetas < 3,5 t",2015,6.544,79.606
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,"Furgonetas < 3,5 t",2016,6.217,81.690
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,"Furgonetas < 3,5 t",2017,6.624,83.043
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,"Furgonetas < 3,5 t",2018,6.596,83.844
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,"Furgonetas < 3,5 t",2019,6.643,84.779
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,"Furgonetas < 3,5 t",2020,4.392,69.981
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,"Camiones >= 3,5 t y autobuses",2014,17.283,76.873
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,"Camiones >= 3,5 t y autobuses",2015,18.441,79.606
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,"Camiones >= 3,5 t y autobuses",2016,19.078,81.690
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,"Camiones >= 3,5 t y autobuses",2017,19.641,83.043
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,"Camiones >= 3,5 t y autobuses",2018,19.672,83.844
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,"Camiones >= 3,5 t y autobuses",2019,19.794,84.779
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,"Camiones >= 3,5 t y autobuses",2020,19.253,69.981
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Motos,2014,1.745,76.873
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Motos,2015,1.744,79.606
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Motos,2016,1.799,81.690
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Motos,2017,1.870,83.043
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Motos,2018,1.888,83.844
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Motos,2019,1.971,84.779
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Motos,2020,1.376,69.981
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Otras emisiones,2014,0,76.873
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Otras emisiones,2015,0,79.606
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Otras emisiones,2016,0,81.690
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Otras emisiones,2017,0,83.043
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Otras emisiones,2018,0,83.844
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Otras emisiones,2019,0,84.779
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Vehículo,Otras emisiones,2020,0,69.981
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta interurbana,2014,33.084,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta interurbana,2015,34.505,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta interurbana,2016,35.317,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta interurbana,2017,36.064,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta interurbana,2018,36.604,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta interurbana,2019,37.049,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta interurbana,2020,30.505,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta rural,2014,11.090,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta rural,2015,11.397,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta rural,2016,11.588,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta rural,2017,11.626,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta rural,2018,11.653,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta rural,2019,11.757,
Gases de efecto invernadero-GEI,Kilotoneladas (kt) de CO2 equivalente,Pauta,Pauta rural,2020,10.230,
