ANO,MES,DIA,HORA,DIA_SEMANA,ESTACION,SO2,NO2,PM2.5,PM10,O3,TEMPERATURA,PRECIPITACION,DIR_VIENTO,VEL_VIENTO,ICA_SO2,ICA_PM10,ICA_O3,ICA_NO2,ICA
2022.0,1.0,1.0,0,Sabado,8.0,4.0,35.0,15.0,16.0,18.39,11.1,0.0,9.4,2.57,3.2,32.0,15.32,87.5,34.51
2022.0,1.0,1.0,1,Sabado,8.0,4.0,48.0,25.0,27.0,8.18,11.1,0.0,9.4,2.57,3.2,54.0,6.82,120.0,46.0
2022.0,1.0,1.0,2,Sabado,8.0,3.0,47.0,25.0,27.0,7.05,11.1,0.0,9.4,2.57,2.4,54.0,5.88,117.5,44.94
2022.0,1.0,1.0,3,Sabado,8.0,3.0,38.0,15.0,17.0,14.22,11.1,0.0,9.4,2.57,2.4,34.0,11.85,95.0,35.81
2022.0,1.0,1.0,4,Sabado,8.0,3.0,26.0,3.0,5.0,24.66,11.1,0.0,9.4,2.57,2.4,10.0,20.55,65.0,24.49
2022.0,1.0,1.0,5,Sabado,8.0,3.0,22.0,2.0,3.0,27.96,11.1,0.0,9.4,2.57,2.4,6.0,23.3,55.0,21.68
2022.0,1.0,1.0,6,Sabado,8.0,3.0,18.0,2.0,3.0,31.53,11.1,0.0,9.4,2.57,2.4,6.0,26.28,45.0,19.92
2022.0,1.0,1.0,7,Sabado,8.0,3.0,25.0,6.0,6.0,27.02,11.1,0.0,9.4,2.57,2.4,12.0,22.52,62.5,24.86
2022.0,1.0,1.0,8,Sabado,8.0,3.0,28.0,11.0,11.0,24.73,11.1,0.0,9.4,2.57,2.4,22.0,20.61,70.0,28.75
2022.0,1.0,1.0,9,Sabado,8.0,3.0,28.0,3.0,4.0,27.2,11.1,0.0,9.4,2.57,2.4,8.0,22.67,70.0,25.77
2022.0,1.0,1.0,10,Sabado,8.0,4.0,27.0,1.0,2.0,31.97,11.1,0.0,9.4,2.57,3.2,4.0,26.64,67.5,25.34
2022.0,1.0,1.0,11,Sabado,8.0,4.0,32.0,5.0,7.0,33.32,11.1,0.0,9.41,2.57,3.2,14.0,27.77,80.0,31.24
2022.0,1.0,1.0,12,Sabado,8.0,4.0,34.0,2.0,3.0,38.05,11.1,0.0,9.41,2.57,3.2,6.0,31.71,85.0,31.48
2022.0,1.0,1.0,13,Sabado,8.0,4.0,35.0,4.0,7.0,42.14,11.1,0.0,9.41,2.57,3.2,14.0,35.12,87.5,34.96
2022.0,1.0,1.0,14,Sabado,8.0,4.0,40.0,3.0,5.0,43.37,11.1,0.0,9.41,2.57,3.2,10.0,36.14,100.0,37.34
2022.0,1.0,1.0,15,Sabado,8.0,5.0,51.0,4.0,6.0,37.87,11.1,0.0,9.41,2.57,4.0,12.0,31.56,127.5,43.76
2022.0,1.0,1.0,16,Sabado,8.0,6.0,76.0,18.0,22.0,16.38,11.1,0.0,9.41,2.57,4.8,44.0,13.65,190.0,63.11
2022.0,1.0,1.0,17,Sabado,8.0,5.0,88.0,21.0,27.0,8.35,11.1,0.0,9.41,2.57,4.0,54.0,6.96,220.0,71.24
2022.0,1.0,1.0,18,Sabado,8.0,6.0,123.0,18.0,26.0,3.34,11.1,0.0,9.41,2.57,4.8,52.0,2.78,307.5,91.77
2022.0,1.0,1.0,19,Sabado,8.0,9.0,142.0,19.0,30.0,3.23,11.1,0.0,9.41,2.57,7.2,60.0,2.69,355.0,106.22
2022.0,1.0,1.0,20,Sabado,8.0,10.0,161.0,26.0,38.0,3.18,11.1,0.0,9.41,2.57,8.0,76.0,2.65,402.5,122.29
2022.0,1.0,1.0,21,Sabado,8.0,8.0,130.0,34.0,47.0,2.95,11.1,0.0,9.41,2.57,6.4,94.0,2.46,325.0,106.96
2022.0,1.0,1.0,22,Sabado,8.0,7.0,100.0,25.0,32.0,2.75,11.1,0.0,9.42,2.57,5.6,64.0,2.29,250.0,80.47
2022.0,1.0,1.0,23,Sabado,8.0,5.0,79.0,19.0,23.0,2.92,11.1,0.0,9.42,2.57,4.0,46.0,2.43,197.5,62.48
2022.0,1.0,2.0,0,Domingo,8.0,4.0,54.0,14.0,19.0,8.18,9.8,0.0,9.61,2.58,3.2,38.0,6.82,135.0,45.76
2022.0,1.0,2.0,1,Domingo,8.0,4.0,43.0,9.0,12.0,11.49,9.8,0.0,9.61,2.58,3.2,24.0,9.57,107.5,36.07
2022.0,1.0,2.0,2,Domingo,8.0,3.0,38.0,9.0,10.0,13.06,9.8,0.0,9.61,2.58,2.4,20.0,10.88,95.0,32.07
2022.0,1.0,2.0,3,Domingo,8.0,3.0,28.0,10.0,13.0,21.98,9.8,0.0,9.62,2.58,2.4,26.0,18.32,70.0,29.18
2022.0,1.0,2.0,4,Domingo,8.0,3.0,29.0,6.0,8.0,20.66,9.8,0.0,9.62,2.58,2.4,16.0,17.22,72.5,27.03
2022.0,1.0,2.0,5,Domingo,8.0,3.0,25.0,4.0,5.0,23.65,9.8,0.0,9.62,2.58,2.4,10.0,19.71,62.5,23.65
2022.0,1.0,2.0,6,Domingo,8.0,3.0,21.0,3.0,4.0,26.85,9.8,0.0,9.62,2.58,2.4,8.0,22.38,52.5,21.32
2022.0,1.0,2.0,7,Domingo,8.0,3.0,32.0,7.0,8.0,19.06,9.8,0.0,9.62,2.58,2.4,16.0,15.88,80.0,28.57
2022.0,1.0,2.0,8,Domingo,8.0,3.0,42.0,2.0,3.0,9.45,9.8,0.0,9.62,2.58,2.4,6.0,7.88,105.0,30.32
2022.0,1.0,2.0,9,Domingo,8.0,3.0,41.0,9.0,11.0,15.37,9.8,0.0,9.62,2.58,2.4,22.0,12.81,102.5,34.93
2022.0,1.0,2.0,10,Domingo,8.0,4.0,35.0,3.0,4.0,24.09,9.8,0.0,9.62,2.58,3.2,8.0,20.08,87.5,29.7
2022.0,1.0,2.0,11,Domingo,8.0,5.0,33.0,3.0,5.0,27.76,9.8,0.0,9.62,2.58,4.0,10.0,23.13,82.5,29.91
2022.0,1.0,2.0,12,Domingo,8.0,5.0,39.0,11.0,13.0,22.74,9.8,0.0,9.62,2.58,4.0,26.0,18.95,97.5,36.61
2022.0,1.0,2.0,13,Domingo,8.0,5.0,43.0,8.0,10.0,23.3,9.8,0.0,9.62,2.58,4.0,20.0,19.42,107.5,37.73
2022.0,1.0,2.0,14,Domingo,8.0,5.0,57.0,10.0,14.0,16.39,9.8,0.0,9.62,2.58,4.0,28.0,13.66,142.5,47.04
2022.0,1.0,2.0,15,Domingo,8.0,4.0,55.0,16.0,22.0,21.31,9.8,0.0,9.63,2.58,3.2,44.0,17.76,137.5,50.62
2022.0,1.0,2.0,16,Domingo,8.0,4.0,59.0,16.0,21.0,20.12,9.8,0.0,9.63,2.59,3.2,42.0,16.77,147.5,52.37
2022.0,1.0,2.0,17,Domingo,8.0,4.0,61.0,18.0,22.0,12.97,9.8,0.0,9.63,2.59,3.2,44.0,10.81,152.5,52.63
2022.0,1.0,2.0,18,Domingo,8.0,4.0,72.0,10.0,15.0,6.22,9.8,0.0,9.63,2.59,3.2,30.0,5.18,180.0,54.6
2022.0,1.0,2.0,19,Domingo,8.0,5.0,92.0,21.0,26.0,3.16,9.8,0.0,9.63,2.59,4.0,52.0,2.63,230.0,72.16
2022.0,1.0,2.0,20,Domingo,8.0,6.0,102.0,26.0,32.0,3.07,9.8,0.0,9.63,2.59,4.8,64.0,2.56,255.0,81.59
2022.0,1.0,2.0,21,Domingo,8.0,5.0,100.0,26.0,33.0,3.31,9.8,0.0,9.63,2.59,4.0,66.0,2.76,250.0,80.69
2022.0,1.0,2.0,22,Domingo,8.0,6.0,101.0,30.0,36.0,3.18,9.8,0.0,9.63,2.59,4.8,72.0,2.65,252.5,82.99
2022.0,1.0,2.0,23,Domingo,8.0,5.0,76.0,23.0,27.0,2.79,9.8,0.0,9.63,2.59,4.0,54.0,2.33,190.0,62.58
2022.0,1.0,3.0,0,Lunes,8.0,4.0,63.0,19.0,22.0,3.07,9.7,0.0,9.83,2.6,3.2,44.0,2.56,157.5,51.82
2022.0,1.0,3.0,1,Lunes,8.0,4.0,52.0,17.0,20.0,2.96,9.7,0.0,9.83,2.6,3.2,40.0,2.47,130.0,43.92
2022.0,1.0,3.0,2,Lunes,8.0,4.0,46.0,17.0,19.0,4.71,9.7,0.0,9.83,2.6,3.2,38.0,3.92,115.0,40.03
2022.0,1.0,3.0,3,Lunes,8.0,3.0,39.0,12.0,13.0,5.97,9.7,0.0,9.83,2.6,2.4,26.0,4.97,97.5,32.72
2022.0,1.0,3.0,4,Lunes,8.0,3.0,29.0,9.0,11.0,11.47,9.7,0.0,9.83,2.6,2.4,22.0,9.56,72.5,26.62
2022.0,1.0,3.0,5,Lunes,8.0,4.0,27.0,13.0,14.0,14.03,9.7,0.0,9.83,2.6,3.2,28.0,11.69,67.5,27.6
2022.0,1.0,3.0,6,Lunes,8.0,4.0,35.0,13.0,13.0,9.02,9.7,0.0,9.83,2.6,3.2,26.0,7.52,87.5,31.06
