"O. Tráfico, Transportes y Comunicaciones"
Intensidad del tráfico
1.1.C. Suma de las Intensidades medias de días laborables de las estaciones permanentes por Zonas y mes (desde 2016)
;;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo
;;Conjunto;Interior 1er cinturón;En el 1er cinturón;Entre 1er cinturón y 2º cinturón;En el 2º cinturón;Entre 2º cinturón y M-30;M-30;Entre M-30 y M-40;Exterior a M-40
2016;Enero;2.165.305;131.638;275.749;414.852;243.193;477.251;202.472;391.856;28.294
2016;Febrero;2.214.596;133.933;283.272;423.789;247.562;486.180;211.839;399.332;28.689
2016;Marzo;2.176.946;134.170;277.097;423.571;237.333;477.383;207.729;391.702;27.961
2016;Abril;2.266.398;138.020;281.646;432.241;255.708;501.061;216.325;411.928;29.469
2016;Mayo;2.284.640;137.494;291.330;436.586;257.621;504.434;218.307;408.967;29.901
2016;Junio;2.283.203;138.881;293.338;432.622;257.485;502.628;218.690;410.305;29.254
2016;Julio;2.134.960;139.194;276.025;418.244;237.513;462.122;201.695;373.169;26.998
2016;Agosto;1.587.887;112.721;202.748;311.289;167.517;323.032;155.928;294.048;20.604
2016;Septiembre;2.219.167;140.811;286.837;428.129;250.096;484.614;205.292;394.629;28.759
2016;Octubre;2.250.691;139.712;284.920;425.960;256.032;498.039;207.095;409.121;29.691
2016;Noviembre;2.257.422;136.692;287.253;426.193;256.278;498.512;212.849;409.952;29.693
2016;Diciembre;2.175.137;117.641;285.979;403.550;248.770;487.281;204.473;398.246;29.197
2017;Enero;2.115.067;126.074;270.450;394.787;240.076;468.957;200.626;385.826;28.271
2017;Febrero;2.235.329;138.448;283.747;421.589;252.582;494.453;213.211;401.712;29.587
2017;Marzo;2.247.535;140.460;286.529;422.556;253.461;501.428;211.340;401.571;30.190
2017;Abril;2.184.235;138.455;278.017;411.297;243.906;483.223;204.929;395.058;29.350
2017;Mayo;2.248.822;139.287;281.864;430.562;256.626;496.817;209.743;403.779;30.144
2017;Junio;2.272.777;141.816;288.956;431.147;255.107;499.185;215.259;411.314;29.993
