"O. Tráfico, Transportes y Comunicaciones"
Parque móvil
I.V.T.M
Tablas anuales
2.1.1.2.B. Parque de vehículos existentes por Tipo de vehículo según Antigüedad del mismo (2007-2016)
;;Turismos;Autobuses;Camiones;Remolques;Motos;Ciclomotores;Tractores
2014;1990-00;184.134;436;20.538;2.058;26.593;6.567;1.785
2014;2001;40.494;175;3.648;337;2.250;3.885;463
2014;2002;43.157;326;3.964;303;2.514;3.155;564
2014;2003;52.224;183;5.145;412;2.551;2.745;814
2014;2004;65.529;234;6.299;446;3.862;2.707;1.101
2014;2005;75.290;381;7.644;388;6.183;2.765;1.255
2014;2006;85.675;262;8.659;410;8.927;3.190;1.479
2014;2007;89.663;326;10.108;437;10.289;3.016;1.341
2014;2008;80.684;699;8.053;422;10.074;2.662;1.039
2014;2009;90.921;327;7.325;396;9.370;1.864;904
2014;2010;92.891;360;7.865;390;10.667;1.889;774
2014;2011;91.218;551;8.607;411;11.971;1.918;916
2014;2012;94.241;365;8.886;490;12.916;1.905;852
2014;2013;108.680;412;11.257;547;15.583;2.291;1.169
2014;2014;139.580;351;14.051;835;21.320;3.226;1.815
2014;2015;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos
2014;2016;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos
2015;1990-00;164.558;408;19.048;1.893;25.075;6.285;1.671
2015;2001;35.964;151;3.276;323;2.102;3.693;430
2015;2002;38.435;313;3.568;284;2.323;3.008;522
2015;2003;46.607;174;4.597;344;2.368;2.620;755
2015;2004;58.586;218;5.661;402;3.527;2.572;987
2015;2005;67.840;361;6.819;351;5.640;2.592;1.157
2015;2006;77.637;249;7.849;379;7.994;2.971;1.375
2015;2007;81.565;315;9.114;409;9.239;2.789;1.229
2015;2008;73.325;630;7.166;385;9.072;2.459;928
2015;2009;83.113;307;6.592;358;8.369;1.672;841
2015;2010;84.076;336;6.989;365;9.472;1.700;684
2015;2011;81.549;519;7.490;364;10.438;1.667;816
2015;2012;83.667;343;7.687;423;11.108;1.623;757
2015;2013;96.344;357;9.633;493;13.115;1.809;998
2015;2014;116.621;279;10.992;702;17.623;2.568;1.204
2015;2015;152.931;436;14.732;857;23.239;3.415;1.913
2015;2016;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos
2016;1990-00;148.768;395;17.883;1.783;23.944;6.022;1.579
2016;2001;31.825;147;2.965;304;1.976;3.518;401
2016;2002;34.298;302;3.212;263;2.158;2.872;489
2016;2003;41.562;166;4.068;315;2.195;2.502;715
2016;2004;52.541;199;5.067;366;3.264;2.445;924
2016;2005;61.125;340;6.074;318;5.145;2.445;1.085
2016;2006;70.117;236;7.107;344;7.303;2.797;1.278
2016;2007;74.056;301;8.203;390;8.411;2.599;1.132
2016;2008;66.363;543;6.437;361;8.197;2.257;849
2016;2009;75.893;286;5.962;300;7.491;1.496;771
2016;2010;76.273;302;6.231;331;8.504;1.511;616
2016;2011;73.178;489;6.661;341;9.238;1.439;715
2016;2012;74.635;305;6.645;388;9.693;1.408;676
2016;2013;85.224;318;8.340;471;11.215;1.548;902
2016;2014;103.414;242;9.195;648;14.814;2.098;1.062
2016;2015;127.860;328;11.498;774;19.375;2.860;1.289
2016;2016;161.991;657;15.788;879;25.670;3.102;2.373
;
;
Fuente: Agencia Tributaria de Madrid
Observaciones: El total de número de vehículos es variable porque se incluyen los no constan
