"O. Tráfico, Transportes y Comunicaciones"
Parque móvil
I.V.T.M
Tablas anuales
2.1.1.2.C. Parque de vehículos existentes por Tipo de vehículo según Antigüedad del mismo
;Turismos;Autobuses;Camiones;Remolques;Motos;Ciclomotores;Tractores
Anterior a 2009;338.862;823;38.798;3.197;45.287;22.043;6.311
2009;47.478;179;3.298;199;4.754;1.055;521
2010;47.190;202;3.527;208;5.181;1.024;443
2011;43.280;327;3.579;247;5.603;911;454
2012;44.060;183;3.557;238;5.384;852;426
2013;50.017;146;4.432;305;6.283;887;539
2014;59.704;105;4.506;360;7.777;1.159;630
2015;72.739;141;5.634;515;9.682;1.677;664
2016;84.497;394;6.897;501;11.810;1.589;704
2017;98.597;477;8.331;439;13.645;2.063;890
2018;113.355;490;9.809;556;16.818;2.321;1.005
2019;126.847;542;12.709;756;24.603;2.457;1.321
2020;118.315;599;12.092;625;23.972;1.882;1.231
2021;154.444;825;15.446;929;27.876;3.588;2.138
;
;
Fuente: Agencia Tributaria de Madrid
"Observaciones: Los totales por tipo de vehículo incluyen ""No consta antigüedad"""
