"O. Tráfico, Transportes y Comunicaciones"
Intensidad del tráfico
1.1.B. Suma de las Intensidades medias de días laborables de las estaciones permantes por Zonas y Velocidad media del Tráfico urbano (2005-2015)
;;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo;Suma de las intensidades medias diarias en el conjunto de estaciones permanentes de aforo
;;Conjunto;Interior 1er cinturón;En el 1er cinturón;Entre 1er cinturón y 2º cinturón;En el 2º cinturón;Entre 2º cinturón y M-30;M-30;Entre M-30 y M-40;M-40;Exterior a M-40
2014;Enero;2.224.884;140.919;298.400;443.156;240.894;489.309;197.127;385.222;Sin Datos;29.857
2014;Febrero;2.274.539;140.185;294.434;458.099;246.210;503.973;203.844;397.271;Sin Datos;30.523
2014;Marzo;2.270.841;139.325;287.202;453.440;242.816;509.094;205.205;402.866;Sin Datos;30.893
2014;Abril;2.243.121;135.679;297.377;450.836;238.538;496.505;200.747;393.180;Sin Datos;30.259
2014;Mayo;2.303.856;143.179;304.828;457.649;251.916;503.657;210.589;400.901;Sin Datos;31.137
2014;Junio;2.268.567;140.658;297.662;448.903;249.309;493.280;210.400;398.142;Sin Datos;30.213
2014;Julio;2.109.105;139.889;291.307;421.035;231.102;439.346;198.622;359.995;Sin Datos;27.809
2014;Agosto;1.576.456;117.847;226.999;309.179;163.024;318.957;138.901;280.443;Sin Datos;21.106
2014;Septiembre;2.223.553;140.008;294.433;440.566;243.443;486.241;200.328;388.706;Sin Datos;29.828
2014;Octubre;2.281.818;144.114;301.029;446.379;252.225;491.750;208.124;406.936;Sin Datos;31.261
2014;Noviembre;2.297.510;140.989;310.180;445.566;249.681;504.362;208.928;406.973;Sin Datos;30.831
2014;Diciembre;2.229.219;139.013;300.768;434.602;245.078;482.886;200.276;396.537;Sin Datos;30.059
2015;Enero;2.186.502;134.486;293.008;420.891;244.225;478.311;198.936;387.059;Sin Datos;29.586
2015;Febrero;2.276.544;143.986;299.484;440.858;252.246;499.602;208.125;402.037;Sin Datos;30.206
2015;Marzo;2.252.769;142.493;294.613;440.203;249.604;490.314;204.760;400.524;Sin Datos;30.258
2015;Abril;2.271.683;139.345;289.823;449.331;251.935;496.037;209.919;404.794;Sin Datos;30.499
2015;Mayo;2.301.420;139.868;286.455;456.232;258.159;510.861;206.456;412.315;Sin Datos;31.074
2015;Junio;2.286.793;136.915;288.929;454.642;256.535;505.219;210.438;403.728;Sin Datos;30.387
2015;Julio;2.127.950;132.953;273.136;427.151;231.735;459.882;202.200;373.743;Sin Datos;27.150
2015;Agosto;1.548.790;109.920;196.464;310.246;152.591;322.461;144.068;292.428;Sin Datos;20.612
2015;Septiembre;2.217.509;136.591;279.731;439.570;245.078;489.648;205.305;392.333;Sin Datos;29.253
2015;Octubre;2.270.392;136.646;289.731;441.572;255.696;499.095;212.276;405.691;Sin Datos;30.260
2015;Noviembre;2.254.979;135.240;287.657;431.544;254.866;499.159;209.915;406.736;Sin Datos;29.862
2015;Diciembre;2.218.647;131.495;281.407;424.431;243.014;484.278;201.327;393.661;Sin Datos;29.034
;
;
"Fuente: Área de Gobierno de Desarrollo Urbano Sostenible. Dirección General de Espacio Público, Obras e Infraestructuras"
Observaciones: A paritr del mes de noviembre de 2015 no se dispone de los datos de Velocidad media por haber finalizado el contrato con la empresa que los facilitaba.
