"O. Tráfico, Transportes y Comunicaciones"
Parque móvil
Matriculaciones
2.2.4.B. Vehículos automóviles matriculados por Tipo de vehículo según Uso
;;Vehículo nuevo;Vehículo nuevo;Vehículo nuevo;Vehículo nuevo;Vehículo nuevo;Vehículo nuevo;Vehículo usado;Vehículo usado;Vehículo usado;Vehículo usado;Vehículo usado;Vehículo usado
;;Camiones y furgonetas;Autobuses;Turismos;Motocicletas;Tractores industriales;Otros vehículos;Camiones y furgonetas;Autobuses;Turismos;Motocicletas;Tractores industriales;Otros vehículos
2015;Enero;..;..;..;..;..;..;..;..;..;..;..;..
2015;Febrero;..;..;..;..;..;..;..;..;..;..;..;..
2015;Marzo;..;..;..;..;..;..;..;..;..;..;..;..
2015;Abril;..;..;..;..;..;..;..;..;..;..;..;..
2015;Mayo;..;..;..;..;..;..;..;..;..;..;..;..
2015;Junio;..;..;..;..;..;..;..;..;..;..;..;..
2015;Julio;385;22;4.991;1.148;7;8;36;0;198;15;3;0
2015;Agosto;179;8;2.523;471;0;1;16;0;141;8;4;0
2015;Septiembre;252;16;3.440;983;3;3;15;0;208;12;0;0
2015;Octubre;440;12;4.244;1.254;18;2;36;0;237;20;2;1
2015;Noviembre;531;6;4.241;546;20;3;35;0;180;16;2;2
2015;Diciembre;466;27;4.330;527;48;2;24;0;178;10;3;1
2016;Enero;310;16;3.264;586;30;5;25;0;155;10;0;1
2016;Febrero;288;13;3.552;588;14;6;15;0;194;16;0;0
2016;Marzo;317;16;4.187;754;35;3;34;0;194;19;6;2
2016;Abril;339;11;4.282;875;2;12;41;1;223;11;4;0
2016;Mayo;300;4;4.313;761;11;6;27;1;177;13;5;2
2016;Junio;402;34;4.746;1.013;7;11;44;3;208;19;2;3
2016;Julio;314;3;4.664;882;11;2;15;0;176;10;2;3
2016;Agosto;221;1;2.710;506;14;2;19;1;179;12;1;0
2016;Septiembre;365;53;3.548;1.131;41;2;30;1;249;18;2;2
2016;Octubre;676;21;3.730;922;13;1;28;0;281;23;3;4
2016;Noviembre;685;86;4.699;780;20;10;37;0;215;16;4;1
2016;Diciembre;491;116;4.928;1.643;24;7;47;1;201;14;1;2
2017;Enero;363;2;3.573;515;11;9;41;0;194;9;6;1
2017;Febrero;301;13;3.774;521;19;15;45;1;193;13;3;3
2017;Marzo;428;16;4.379;686;11;18;53;1;271;14;0;4
2017;Abril;324;36;3.562;817;19;11;22;0;211;12;1;4
2017;Mayo;408;10;4.305;945;15;12;40;4;212;12;3;3
2017;Junio;484;14;5.013;991;12;18;25;1;198;16;2;2
2017;Julio;461;21;4.548;844;38;11;68;0;231;15;1;1
2017;Agosto;247;7;2.894;492;11;5;40;0;219;19;3;0
2017;Septiembre;540;64;3.820;825;4;10;34;1;233;16;5;3
2017;Octubre;863;108;4.505;977;17;8;40;0;239;23;0;3
2017;Noviembre;598;79;4.457;748;17;6;60;0;290;23;3;1
2017;Diciembre;484;50;4.810;553;11;9;32;0;236;10;2;6
2018;Enero;518;24;3.963;636;22;7;28;0;230;17;1;5
2018;Febrero;342;38;4.030;660;9;10;56;0;220;25;2;2
2018;Marzo;417;70;4.232;721;7;24;49;0;197;13;0;3
2018;Abril;410;29;3.883;998;13;9;81;1;195;20;4;7
2018;Mayo;387;26;4.651;1.048;7;13;59;1;203;14;5;2
2018;Junio;539;37;5.053;1.017;22;15;70;0;203;19;0;3
2018;Julio;510;57;5.222;1.020;5;10;33;1;206;15;0;10
2018;Agosto;445;11;3.734;736;4;7;30;0;168;11;2;0
2018;Septiembre;324;45;2.481;2.074;23;4;24;1;206;9;1;1
2018;Octubre;593;36;3.503;1.324;18;9;25;0;230;16;2;3
2018;Noviembre;578;31;3.843;892;14;13;35;1;195;15;3;3
2018;Diciembre;692;8;3.976;705;10;3;28;0;170;11;2;1
2019;Enero;565;5;3.682;803;42;10;31;0;185;19;4;6
2019;Febrero;481;21;3.352;767;17;15;35;2;214;7;0;5
2019;Marzo;433;31;3.759;1.167;9;10;36;0;164;27;3;7
2019;Abril;398;57;3.531;923;6;30;32;3;186;14;1;3
2019;Mayo;391;40;3.892;1.202;31;16;32;0;188;14;2;1
2019;Junio;359;54;3.718;2.046;11;19;44;0;221;16;0;2
2019;Julio;434;49;3.874;2.060;3;17;26;0;211;20;1;5
2019;Agosto;586;28;2.442;594;3;8;20;0;156;15;1;2
2019;Septiembre;279;28;3.158;1.119;1;9;18;1;180;23;3;5
2019;Octubre;538;40;3.378;1.330;14;3;44;1;271;24;3;2
2019;Noviembre;511;16;3.438;2.327;25;6;26;0;201;22;1;2
2019;Diciembre;422;5;3.503;1.010;7;7;28;0;172;7;1;3
2020;Enero;313;35;2.854;892;8;11;28;0;193;16;4;0
2020;Febrero;341;49;2.957;1.274;25;14;33;0;211;21;1;4
2020;Marzo;160;13;1.185;962;24;6;13;0;118;5;1;2
2020;Abril;38;29;75;287;2;0;5;0;15;3;1;0
2020;Mayo;191;34;1.320;2.039;15;10;4;0;37;9;1;1
2020;Junio;468;31;4.088;2.288;21;36;39;0;171;8;3;4
2020;Julio;528;35;5.444;1.867;7;18;49;0;199;19;1;5
2020;Agosto;299;10;2.469;710;5;7;42;0;154;17;1;3
